,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,correct
2049299.6,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,3,4,0,1,0,1,0,0,0,0,1
2049399.6,0,2,0,0,2,0,0,0,0,3,0,1,0,0,0,1,1,0,0,0,4,2,2,0,0,2,1,0,0,0,0,1
2049499.6,0,2,0,0,3,0,0,0,1,4,0,0,0,0,1,0,0,1,0,0,2,3,3,0,1,1,0,0,0,0,0,1
2049599.6,0,1,0,0,3,0,0,0,5,2,0,0,0,0,0,0,1,0,1,0,3,4,3,0,1,0,0,0,0,0,0,1
2049699.6,0,2,0,0,2,0,0,0,5,1,0,0,0,0,1,0,1,0,0,0,2,0,2,0,1,0,0,0,0,0,0,1
2049799.6,0,0,0,0,2,0,0,0,4,2,0,0,0,0,0,1,2,0,0,0,2,0,4,0,1,0,0,0,0,0,0,1
2049899.6,0,0,0,0,1,0,1,0,5,1,0,0,0,1,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,1
2049999.6,0,0,0,0,2,0,0,0,3,2,0,0,0,0,0,1,3,0,0,0,0,3,3,0,4,0,0,0,0,0,0,1
2050099.6,0,1,0,0,3,0,0,0,2,3,0,0,0,0,1,0,1,0,0,0,2,2,3,0,1,0,1,0,0,0,0,1
2050199.6,0,3,0,0,2,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,1
2050299.6,0,1,0,0,3,1,0,0,2,3,0,0,0,0,0,1,1,0,0,0,1,3,1,0,0,0,1,0,0,0,0,1
2050399.6,0,1,0,0,3,0,0,0,2,2,0,0,0,0,0,1,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,1
2050499.6,0,1,0,0,2,0,0,0,6,2,0,0,0,0,0,0,1,0,0,0,4,8,1,0,1,0,0,0,0,0,0,1
2050599.6,0,0,0,0,2,1,0,0,2,4,0,0,0,0,1,0,1,0,0,0,1,3,3,0,1,0,1,0,0,0,0,1
2050699.6,0,0,0,0,2,0,0,0,2,4,0,0,0,0,1,0,2,0,0,0,5,1,3,0,0,0,2,0,0,0,0,1
2050799.6,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,1,4,0,0,0,4,1,3,0,0,0,0,0,0,0,0,1
2050899.6,0,0,0,0,1,1,0,0,4,5,0,0,0,0,0,0,2,0,0,0,2,3,2,0,0,0,0,0,0,0,0,1
2050999.6,0,0,0,0,2,1,0,0,6,1,0,0,0,0,0,1,2,0,0,0,3,2,5,0,0,1,1,0,0,0,0,1
2051099.6,0,0,0,0,3,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,1
2051199.6,0,1,0,0,1,0,0,0,7,2,0,0,0,0,0,1,3,0,0,0,1,4,2,0,1,0,0,0,0,0,0,1
2051299.6,0,0,0,0,3,1,0,0,5,3,0,0,0,0,0,0,1,0,0,0,2,2,1,0,1,0,0,0,0,0,0,1
2051399.6,0,1,0,0,3,0,0,0,6,1,0,0,0,0,1,0,2,0,1,0,4,7,1,0,0,0,1,0,0,0,0,1
2051499.6,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1
2051599.6,0,1,0,0,3,1,1,0,4,2,0,0,0,0,0,0,3,0,0,0,4,2,3,0,1,0,1,0,0,0,0,1
2051699.6,0,1,0,0,3,1,1,0,4,1,0,0,0,0,1,1,1,0,0,0,0,4,2,0,0,0,1,0,0,0,0,1
2051799.6,0,1,0,0,3,0,0,0,3,2,0,0,0,0,0,1,1,0,0,0,4,1,3,0,1,0,0,0,0,0,0,1
2051899.6,0,0,0,0,2,0,0,0,4,2,0,0,0,0,1,0,1,0,0,0,1,4,2,0,0,0,0,0,0,0,0,1
